"标识","品牌","MPN码","规格","","插件位置","底数","数量","单位","承样状态","创建时间"
"202003615, PCBA; BeagleV-Ahead, A.11 (Design)","","","","","","","","","","2022/06/15 10:41  CST"
"301010000, SMD RES 0R-5%-1/16W;0402, A.2 (Design)","YAGEO","RC0402JR-070RL","","","R1 R6 R103 R124 R125 R126 R127 R128 R130 R200 R201 R202 R228 R229 R230 R233 R234 R242 R243 R486 R487 R651 R801 R802 R803 R804 R806 R807 R809","1","29","PCS","无需承样","2015/10/31 16:34  CST"
"301010048, SMD RES 30K-1%-1/16W;0402, A.1 (Design)","YAGEO","RC0402FR-0730KL","","","R116 R131","1","2","PCS","无需承样","2015/10/31 16:03  CST"
"301010081, SMD RES 200K-1%-1/16W;0402, A.1 (Design)","YAGEO","RC0402FR-07200KL","","","R136 R808","1","2","PCS","无需承样","2015/10/31 15:50  CST"
"301010359, SMD RES 0R-5%-1/8W;0805, A.1 (Design)","YAGEO","RC0805JR-070RL","","","R13","1","1","PCS","无需承样","2015/10/31 15:55  CST"
"301010410, SMD RES 1M-1%-1/4W;1206, A.1 (Design)","YAGEO","RC1206FR-071ML","","","R112","1","1","PCS","无需承样","2015/10/31 15:55  CST"
"301010442, SMD RES 100R-1%-1/16W;0402, A.1 (Design)","YAGEO","RC0402FR-07100RL","","","R7","1","1","PCS","无需承样","2015/10/31 15:47  CST"
"301010523, SMD RES 1K-±1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-071KL","","","R109 R110 R121 R123 R144 R185 R186 R187 R188 R189 R190 R191 R192 R193 R194 R195 R225 R232","1","18","PCS","无需承样","2015/10/31 16:25  CST"
"301010525, SMD RES 0R-±1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-070RL","","","R49 R52 R56 R61 R62 R74 R78 R106 R108 R156 R235 R236 R237 R238 R239 R240 R241","1","17","PCS","无需承样","2015/10/31 16:34  CST"
"301010526, SMD RES 10K-±1%-1/20W;0201, A.1 (Design)","YAGEO","RC0201FR-0710KL","","","R10 R15 R21 R40 R87 R91 R92 R93 R113 R117 R118 R129 R132 R133 R134 R137 R139 R141 R145 R146 R147 R148 R149 R158 R160 R162 R164 R166 R168 R169 R170 R171 R180 R203 R204 R205 R207 R209 R211 R213 R215 R217 R219 R221 R223","1","45","PCS","无需承样","2015/10/31 16:34  CST"
"301010671, SMD RES 2.7K-1%-1/16W;0402, A.2 (Design)","YAGEO","RC0402FR-072K7L","","","R143","1","1","PCS","未承样","2015/10/31 15:54  CST"
"301010675, SMD RES;33R-5%-1/20W;0201, A.1 (Design)","YAGEO","RC0201JR-0733RL","","","R5 R37 R53 R54 R55 R67 R68 R69 R70 R71 R72 R73 R75 R76 R77 R79 R83 R84 R85 R86 R88 R90 R150","1","23","PCS","未承样","2015/10/31 15:56  CST"
