SKU,Description,brand,MPN,specification,position,qty,底数,unit
102991698,BeagleV-Ahead,,,,,,,PCS
318020668,External Antenna 2.4GHz&5GHz-2.0/4.0dBi;IPEX 1代接口,东莞市众驰电子有限公司,ZCN2450-FPC1331B353HF,,,1,1,PCS
321010824,USB Cable;3.0 AF To 3.0 Micro-B-24AWG-20mm-Black,凯川,S2304001,,,1,1,PCS
328990365,干燥剂;小包1g装-30*40mm,,,,,1,1,PCS
327140437,C10_珍珠棉2;白色珍珠棉-485*230*10mm,,,,,1,31,PCS
327122438,BeagleV®-Ahead_纸卡;300g白卡+光膜-89*51mm,,,,,1,1,PCS
327141492,BeagleBone Black_黑色海绵-123*95*5mm,,,,,2,1,PCS
327140438,C10_珍珠棉3;白色珍珠棉-305*230*10mm,,,,,1,31,PCS
327050010,Anti Static Bag;W100*H150*0.05mm-自封口,,,,,1,1,PCS
327140436,C10_珍珠棉1;白色珍珠棉-485*335*10mm,,,,,1,31,PCS
327101708,BeagleV®-Ahead_彩盒;250g灰铜+CE加强坑+250灰铜+光膜-135*99*39mm,,,,,1,1,PCS
327130059,CH_Label;不干胶铜板纸-L40*W30mm(双列),,,空白贴纸-5000pcs一卷,,1,1,PCS
327110729,包装箱C10;K=K-500*370*270mm(带公司LOGO;带质量强度章;带防损标示),,,,,1,62,PCS
202003615,PCBA; BeagleV-Ahead,,,,,1,1,PCS
320090416,"SMD SD Card Holder;Reverse-Bottom,8P-14.3*16mm",YU LIANG(宇亮),YL004-030-001,,J15,1,1,PCS
303011792,SMD Inductor;0.16uH-20%-5A-2.5*2.0*1.0mm,Sunlord,WPN252010UR16MT,,L41 L42,2,1,PCS
303011382,SMD Inductor 1uH-20%-3.1A;L2.0*W1.6*H1.0mm,Sunlord,WPN201610U1R0MTY01,,L36 L37 L38 L39 L40 L43,6,1,PCS
303010172,SMD Innductor 0.47uH-20%;L2.0*W1.6*H1.0mm,Sunlord,WPN201610MR47MT,,L2,1,1,PCS
310051370,SMD IC Logic;4-Bit Bidirectional Voltage-Level Translator;DSBGA-12,Union Semiconductor,UM3304,,U7 U11 U12 U13 U14 U15 U16 U18 U19 U23 U24 U25 U26 U27 U28 U30 U31,17,1,PCS
310051371,SMD IC Logic;4-Bit Bidirectional Voltage-Level Translator;DSBGA-12,Union Semiconductor,UM3204H,,U17 U22 U29,3,1,PCS
320011259,SMD+DIP Micro USB 3.0 TYPE B;10P+7,MTCONN,UBF30-0101,,J6,1,1,PCS
320111077,SMD U-FL Female CONN-Gold;3P-L2.6*W2.6*H1.25mm,HRS,U.FL-R-SMT-1,,J2,1,1,PCS
304060294,"SMD Diode Array ESD;4 Channel,6 Gbps,5.5V;USON-10",TI,TPD4E05U06DQAR,Air=±15KV；Contact=±12KV,D1 D2 D4 D5,4,1,PCS
304060395,"SMD Diode Array ESD;4 Channel,0.25pF,3.6V,10Gbps;USON-10",TI,TPD4E02B04DQAR,Air=±15KV；Contact=±12KV,D12,1,1,PCS
